RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions,up_freq,down_freq,left_freq,right_freq,min_duration,avg_duration,max_duration,min_vel,avg_vel,max_vel,min_ampl,avg_ampl,max_ampl,min_angle,avg_angle,max_angle,min_distance,avg_distance,max_distance,min_slope,avg_slope,max_slope
34,2,NamingWITHOUTinterference.jpg,1,59,289.3559322033898,876,0.3303149910997601,1,24,33,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
36,2,NamingWITHOUTinterference.jpg,1,63,253.4920634920635,860,0.2947582133628645,1,24,35,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
44,2,NamingWITHOUTinterference.jpg,1,39,276.1025641025641,662,0.417073359671547,1,12,22,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
60,2,NamingWITHOUTinterference.jpg,1,56,300.75,1708,0.1760831381733021,1,17,17,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
3,3,ReadingWITHinterference.jpg,1,53,318.8301886792453,956,0.3335043814636457,1,20,26,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
10,3,ReadingWITHinterference.jpg,1,56,246.0714285714286,822,0.2993569690649983,1,26,26,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
18,3,ReadingWITHinterference.jpg,1,60,277.8,1184,0.2346283783783784,1,24,27,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
26,3,ReadingWITHinterference.jpg,1,63,330.4126984126984,2094,0.1577902093661406,1,24,29,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
34,3,ReadingWITHinterference.jpg,1,77,260.6493506493507,868,0.3002872703333533,1,36,34,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
36,3,ReadingWITHinterference.jpg,1,55,232.3636363636364,518,0.4485784485784486,1,21,26,0.0573012939001848,0.0258780036968576,0.3585951940850277,0.5471349353049908,16,51.13123844731978,624,0.42,109.10826247689464,282.82,0.04,5.891626617375231,24.25,-179.75,-2.669556377079483,180.0,1.2165525060596332,201.2159631131022,933.941673767693,-3.1347295178310293,0.0710034551634649,3.141592653589793
